oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
fi;0116510-6;fi;170640;Elisa Oyj
bd;C-14218;bd;967696;IDLC
no;964118191;no;843606;Marine Harvest
nl;32153845;nl;970551;Van Lanschot
fr;803086586;fr;46091;Schneider Electric
sg;199407416H;sg;176550;Asia Pulp and Paper
au;080983302;au;52174;Botani
nz;3751396;nz;59450;The Department of Brands
nl;33145851;nl;975157;Royal Wessanen
gb;FC031677;je;170655;Henderson Group plc
gb;04760441;gb;51279;Northumbrian Water Group
gb;06882973;gb;51319;Ethical Fruit Company Ltd
us_oh;2034299;us_de;47771;Marathon Petroleum
gb;01833679;gb;11251;Vodafone Group Plc
au;123123124;au;47359;Commonwealth Bank
ca_ns;1000472;ca_ns;47435;Bank of Nova Scotia
gb;00102498;gb;637;BP plc.
gb;04551528;gb;51009;InterContinental Hotels
dk;24256790;dk;56327;Novo Nordisk
ca_nb;640097;ca_nb;56631;Teck Resources
us_va;F0130668;us_de;47747;General Dynamics
us_ca;C0735123;us_de;859808;Bio-Rad Laboratories
ca_ns;1017978;ca;47626;Canadian Imperial Bank
hk;F0004691;bm;56510;Jardine Matheson
us_fl;M04961;us_fl;47782;NextEra Energy
au;000014675;au;1625513;Woolworths Limited
us_nj;1745491000;us_de;56453;Automatic Data
ca_ns;3078117;ca_ns;47985;TransCanada
gb;02022662;gb;47988;Lloyds Banking Group
ca_nl;5306F;ca_nl;56563;Barrick Gold
us_nj;2589601000;us_nj;56314;Campbell Soup
us_tx;0801048170;us_de;49592;Dr Pepper Snapple Group
gb;ZC000018;gb;47539;Standard Chartered
us_ny;188055;us_ny;47451;American Express
us_mi;615366;us_de;117737;Ford Motor Company
us_ga;H950810;us_de;56763;Home Depot
us_ma;340196300;us_md;56246;Eaton
us_pa;5032;us_de;48443;Air Products & Chemicals
us_pa;754401;us_pa;47599;PNC Financial Services
us_ca;C0621089;us_ca;57061;Charles Schwab
hk;0024096;hk;48332;Cheung Kong Holdings
gb;09399778;gb;48508;British Sky Broadcasting
ie;906412;ie;48584;Seagate Technology
