company,wikirate_company,status,accept_status,aliases
Hunan Valin Steel,,none,,"hunan valin steel,valin"
Hyakujushi Bank,,none,,"hyakujushi bank,114bank"
Corporation Bank,,none,,"corporation bank,corpbank"
Arkema,,none,,"arkema,arkemagroup"
Keiyo Bank,,none,,"keiyo bank,keiyobank"
Musashino Bank,,none,,"musashino bank,musashinobank"
RMB Holdings,,none,,"rmb holdings,rmbh"
Signature Bank,,none,,"signature bank,signatureny"
Allahabad Bank,,none,,"allahabad bank,allahabadbank"
Cabot Oil & Gas,,none,,"cabot oil & gas,cabotog"
Doha Bank,,none,,"doha bank,dohabank"
Kagoshima Bank,,none,,"kagoshima bank,kagin"
Wing Hang Bank,,none,,"wing hang bank,whbhk"
Sealed Air,,none,,"sealed air,sealedaircorp"
Dean Foods,,none,,"dean foods,barbersdairy"
Pou Chen,,none,,"pou chen,pouchen"
GS Engineering,,none,,"gs engineering,gsconst"
Japan Securities,,none,,"japan securities,jsf"
Eutelsat Communications,,none,,"eutelsat communications,eutelsat"
IKB Deutsche,,none,,"ikb deutsche,ikb"
Catlin Group,,none,,"catlin group,catlin"
Vietin Bank,,none,,"vietin bank,vietinbank"
Signet Jewelers,,none,,"signet jewelers,signetjewelers,Signet"
UCO Bank,,none,,"uco bank,ucobank"
OGE Energy,,none,,"oge energy,oge"
TPK Holding,,none,,"tpk holding,tpk-solutions"
Tsingtao Brewery,,none,,"tsingtao brewery,tsingtaobeer"
WPG Holdings,,none,,"wpg holdings,wpgholdings"
First Pacific,,none,,"first pacific,firstpacific"
Hokkoku Bank,,none,,"hokkoku bank,hokkokubank"
Bank of Nagoya,,none,,"bank of nagoya,meigin"
Luzerner Kantonalbank,,none,,"luzerner kantonalbank,lukb"
Air Canada,,none,,"air canada,aircanada"
DVB Bank,,none,,"dvb bank,dvbbank"
Volksbank,,none,,"volksbank,oevag"
St Galler Kantonalbank,,none,,"st galler kantonalbank,sgkb"
Bank of Iwate,,none,,"bank of iwate,iwatebank"
Tim Hortons,,none,,"tim hortons,timhortons"
Dixons Retail,,none,,"dixons retail,dsgiplc"
FIBI Holdings,,none,,"fibi holdings,fibi"
SBI Holdings,,none,,"sbi holdings,sbigroup"
Laurentian Bank,,none,,"laurentian bank,laurentianbank"
LS Corp,,none,,"ls corp,lscable"
BEKB-BCBE,,none,,"bekb-bcbe,bekb"
City National,,none,,"city national,cnb"
CST Brands,,none,,"cst brands,cstbrands"
Hero Motocorp,,none,,"hero motocorp,heromotocorp,Hero Honda"
Silver Wheaton,,none,,"silver wheaton,silverwheaton"
Hanjin Shipping,,none,,"hanjin shipping,hanjin,Hanjin Group"
Securitas,,none,,"securitas,securitasgroup"
Newcrest Mining,,none,,"newcrest mining,newcrest"
Oita Bank,,none,,"oita bank,oitabank"
Kuwait Projects,,none,,"kuwait projects,kipcogp"
Valiant Holding,,none,,"valiant holding,valiant"
Motor Oil,,none,,"motor oil,moh"
NCC Group,,none,,"ncc group,ncc"
Awa Bank,,none,,"awa bank,awabank"
Hanwha Chemical,,none,,"hanwha chemical,hanwha"
GPT Group,,none,,"gpt group,gpt"
Aichi Bank,,none,,"aichi bank,aichibank"
Hyundai Wia,,none,,"hyundai wia,wia"
Toho Holdings,,none,,"toho holdings,tohoyk"
Shangri-La Asia,,none,,"shangri-la asia,shangri-la,Shangri-La Hotel"
New Hope Liuhe,,none,,"new hope liuhe,newhopeagri"
Joy Global,,none,,"joy global,joyglobal,Joy Global Inc"
Shui On Land,,none,,"shui on land,shuionland,Shui On"
Toyota Boshoku,,none,,"toyota boshoku,toyota-boshoku"
Inotera Memories,,none,,"inotera memories,inotera"
Konica Minolta,,none,,"konica minolta,konicaminolta,Konica"
Andhra Bank,,none,,"andhra bank,andhrabank-india"
Grasim Industries,,none,,"grasim industries,grasim"
Tomony Holdings,,none,,"tomony holdings,tomony-hd"
Fuji Electric,,none,,"fuji electric,fujielectric"
Oshkosh,,none,,"oshkosh,oshkoshtruck"
JSW Steel,,none,,"jsw steel,jsw"
Yunnan Yuntianhua,,none,,"yunnan yuntianhua,yyth"
Arab Banking,,none,,"arab banking,arabbanking"
Meiji Holdings,,none,,"meiji holdings,meiji"
Odakyu Electric Railway,,none,,"odakyu electric railway,odakyu"
Shikoku Bank,,none,,"shikoku bank,shikokubank"
BMCE Bank,,none,,"bmce bank,e-bmcebank"
Synovus Financial,,none,,"synovus financial,synovus"
UNY Group Holdings,,none,,"uny group holdings,uny"
American B International,,none,,"american b international,organic-rosehipoil"
1944 Vegan Skincare,,none,,"1944 vegan skincare,1944veganskincare"
Absolute Miracle,,none,,"absolute miracle,absolutemiraclecream"
"Premier, Inc",,none,,"premier, inc,premier, inc.,premierinc"
Thrivent Financial,,none,,"thrivent financial,thrivent financial for lutherans,thrivent"
Active Concepts,,none,,"active concepts,active micro technologies,arbor organic technologies,activeconceptsllc"
Better Planet Brands,,none,,"better planet brands,acureorganics"
Adorn Mineral Cosmetics,,none,,"adorn mineral cosmetics,adornmineralcosmetics"
ADVANAGE Diversified Products,,none,,"advanage diversified products,advanagedp"
Adwin Korea Corporation,,none,,"adwin korea corporation,adwin"
Affordable Mineral Makeup,,none,,"affordable mineral makeup,affordablemineralmakeup"
AHAVA Dead Sea Laboratories Ltd.,,none,,"ahava dead sea laboratories ltd.,ahava"
Alchemilla Ultra Pure Skincare,,none,,"alchemilla ultra pure skincare,myalchemilla"
Ali's Natural Health Products,,none,,"ali's natural health products,alisnaturals"
"Alima Cosmetics, Inc.",,none,,"alima cosmetics, inc.,alimacosmetics"
American Formulating & Manufacturing,,none,,"american formulating & manufacturing,afmsafecoat"
Anastasia Beverly Hills,,none,,"anastasia beverly hills,anastasia"
Aniise Natural Skincare and Cosmetics,,none,,"aniise natural skincare and cosmetics,aniise"
Anna Marie’s Aromatherapy and Massage,,none,,"anna marie’s aromatherapy and massage,angelfire"
Antonia Royale Cosmetics,,none,,"antonia royale cosmetics,antoniaroyale"
Aromatherapy by Whole Spectrum,,none,,"aromatherapy by whole spectrum,wholespectrum"
"Astonish Industries, Inc.",,none,,"astonish industries, inc.,astonishcleaners"
Attitude Eco-Friendly Certified Cleaning Products,,none,,"attitude eco-friendly certified cleaning products,cleanattitude"
Au Naturel Botanicals,,none,,"au naturel botanicals,aunaturelbotanicals"
"Aubrey Organics, Inc.",,none,,"aubrey organics, inc.,aubrey-organics"
Aurelia Probiotic Skincare,,none,,"aurelia probiotic skincare,aureliaskincare"
Auromère Ayurvedic Imports,,none,,"auromère ayurvedic imports,auromere"
Aussie Mineral Makeup,,none,,"aussie mineral makeup,aussiemineralmakeup"
Australian Bush Flower Essences,,none,,"australian bush flower essences,ausflowers"
Avasiare Professional Skincare and Cosmetics,,none,,"avasiare professional skincare and cosmetics,avasiare"
Estee Lauder,,none,,"estee lauder,aveda corp,aveda"
Awakening Mineral Therapies,,none,,"awakening mineral therapies,awakeningskincare"
Ayurveda Holistic Center,,none,,"ayurveda holistic center,ayurveda"
Azmira Holistic Animal Care,,none,,"azmira holistic animal care,azmira"
Bare Body Soaps Organics,,none,,"bare body soaps organics,barebodysoaps"
Bare Bones Body Care,,none,,"bare bones body care,barebonesbody"
bareFaced Mineral Cosmetics,,none,,"barefaced mineral cosmetics,barefacedminerals"
Limited Brands,,none,,"limited brands,slatkin & co.,true blue spa,bathandbodyworks"
Bathtime Baby & Bathtime Kids,,none,,"bathtime baby & bathtime kids,ohbabyorganicskincare"
Be Natural Organics,,none,,"be natural organics,benaturalorganics"
Beach Organics Skin Care,,none,,"beach organics skin care,beachorganicsskincare"
"Beaumont Products, Inc.",,none,,"beaumont products, inc.,beaumontproducts"
Beautiful Movements Cosmetics,,none,,"beautiful movements cosmetics,bmbeauty"
Beauty 21 Cosmetics,,none,,"beauty 21 cosmetics,beauty 21,lagirlusa"
Beauty Bliss Cosmetics,,none,,"beauty bliss cosmetics,beautyblisscosmetics"
"Beauty Plus Global, Inc.",,none,,"beauty plus global, inc.,beautyplusinc"
Beauty Secrets Minerals Makeup,,none,,"beauty secrets minerals makeup,beautysecretminerals"
"UK, Europe, & Rest of World",,none,,"uk, europe, & rest of world,bwcv"
"Bee Mine Products, Inc.",,none,,"bee mine products, inc.,beemineproducts"
Bella Mira Essential Oils,,none,,"bella mira essential oils,abundantlifeessentials"
Belle's Botanicals,,none,,"belle's botanicals,belles-botanicals"
Best Friend Botanicals,,none,,"best friend botanicals,bestfriendbotanicals"
Bhumi Makeup Brushes,,none,,"bhumi makeup brushes,bhumimakeupbrushes"
Biggs & Featherbelle,,none,,"biggs & featherbelle,biggsandfeather"
Bioethique Organic Cosmetics,,none,,"bioethique organic cosmetics,bioethiqueorganic"
"Biogime International, Inc.",,none,,"biogime international, inc.,simplybiogime"
Birthed By Earth Candle Co.,,none,,"birthed by earth candle co.,birthedbyearth"
Black Magic Concepts,,none,,"black magic concepts,blackmagicbrands"
Black Moon Cosmetics,,none,,"black moon cosmetics,blackmooncosmetics"
Blue Ridge Gypsy Studio,,none,,"blue ridge gypsy studio,blueridgegypsy"
Bodyceuticals Organic Bodycare,,none,,"bodyceuticals organic bodycare,bodyceuticalsskincare"
Bon Ami/Faultless Starch,,none,,"bon ami/faultless starch,faultless starch/bon ami,bonami"
Bosley Professional Strength,,none,,"bosley professional strength,bosleypro"
Botanical Skin Works,,none,,"botanical skin works,botanicalworks"
Botanicals for Beauty,,none,,"botanicals for beauty,botanicalsforbeauty"
Branded J Collections,,none,,"branded j collections,brandedjcollections"
The Department of Brands,,none,,"the department of brands,briteorganix"
Brocato International,,none,,"brocato international,brocatotoday"
Brown Bag Botanicals,,none,,"brown bag botanicals,brownbagbotanicals"
Bubble Shack Hawaiian Soap Company,,none,,"bubble shack hawaiian soap company,bubbleshackhawaii"
"Burns Pet Health, Inc.",,none,,"burns pet health, inc.,burnspethealth"
Caitlin's Super Natural,,none,,"caitlin's super natural,caitlinsupernatural"
California Cove Designs,,none,,"california cove designs,californiacovedesigns"
Candles with a Cause,,none,,"candles with a cause,agreencandlecompany"
Candy Kisses Natural Lip Balm,,none,,"candy kisses natural lip balm,candykisses"
Chrislie Formulations,,none,,"chrislie formulations,chrislieformulations"
Christine Marie Cosmetics,,none,,"christine marie cosmetics,christinemariecosmetics"
"Christine Valmy, Inc.",,none,,"christine valmy, inc.,christinevalmy"
Christine's Garden of Beauty,,none,,"christine's garden of beauty,christinesgardenbeauty"
"Clavé Body Care International, Inc.",,none,,"clavé body care international, inc.,clavebodycare"
Clean Kids Naturally,,none,,"clean kids naturally,gabriel cosmetics, inc.,zuzu cosmetics,gabrielcosmeticsinc"
Clean World Soap.com,,none,,"clean world soap.com,cleanworldsoap"
Clearly Natural Products,,none,,"clearly natural products,beaumont products,clearlynaturalsoaps"
Clearwater Botanicals,,none,,"clearwater botanicals,puredermacare"
Coastal Classic Creations,,none,,"coastal classic creations,coastalclassiccreations"
Coconut Health & Healing,,none,,"coconut health & healing,coconuthealthandhealing"
Coldstream Naturals,,none,,"coldstream naturals,coldstreamnaturals"
Collective Wellbeing,,none,,"collective wellbeing,collectivewellbeing"
ColorProof Evolved Color Care,,none,,"colorproof evolved color care,colorproof"
Coloured Raine Cosmetics,,none,,"coloured raine cosmetics,colouredraine"
Columbia Cosmetics Manufacturing,,none,,"columbia cosmetics manufacturing,columbiacosmetics"
Concept Now Cosmetics,,none,,"concept now cosmetics,conceptnowcosmetics"
Conscious Skincare,,none,,"conscious skincare,conscious-skincare"
Consonant Body Products,,none,,"consonant body products,consonantbody"
Corrective Skin Care,,none,,"corrective skin care,correctiveskin"
Countryside Herb Farms,,none,,"countryside herb farms,countrysideusa"
Crabtree & Evelyn Cosmetics,,none,,"crabtree & evelyn cosmetics,crabtree-evelyn"
Crazy Cat Lady ™ Concoctions,,none,,"crazy cat lady ™ concoctions,crazycatladyconcoctions"
"Crown Royale, Ltd.",,none,,"crown royale, ltd.,crownroyaleltd"
Dallas Manufacturing Company,,none,,"dallas manufacturing company,brinkmannpet"
Darling Naturals Company,,none,,"darling naturals company,darlingnaturals"
Daytona Detailing Products,,none,,"daytona detailing products,daytonadetailingproducts"
Deodorant Stones of America,,none,,"deodorant stones of america,deodorantstones"
DERMagic Skin Care for Animals,,none,,"dermagic skin care for animals,dermagic"
Dermarose Skin Revitalized,,none,,"dermarose skin revitalized,dermarosestemcellskincare"
Dermatologic Cosmetic Laboratories,,none,,"dermatologic cosmetic laboratories,dclskincare"
DermOrganic Laboratories,,none,,"dermorganic laboratories,dermorganic"
"Dickinson Brands, Inc.",,none,,"dickinson brands, inc.,dickinsonbrands"
Divine By Therese Kerr,,none,,"divine by therese kerr,divinebytheresekerr"
DO Naturals,,none,,"do naturals,dolphin organics,dolphinorganics"
Donna Marie Beauty Products,,none,,"donna marie beauty products,shopdonnamarie"
Down to Earth Handmade Products,,none,,"down to earth handmade products,downtoearthhp"
Dr. Berrettini's Mendocino Minerals,,none,,"dr. berrettini's mendocino minerals,mendominerals"
Dr. Dennis Gross Skincare,,none,,"dr. dennis gross skincare,dgskincare"
Dr. Sager’s HomeoTherapeutics,,none,,"dr. sager’s homeotherapeutics,drsagers"
Dr. Sharp Natural Toothpaste,,none,,"dr. sharp natural toothpaste,drfluoridefree"
Dr. Singha's Natural Therapeutics,,none,,"dr. singha's natural therapeutics,drsingha"
Dr. Spiller Pure SkinCare Solutions,,none,,"dr. spiller pure skincare solutions,spillerus"
Dynamic Innovations,,none,,"dynamic innovations,dynamicinnovations"
"Dynamite Marketing, Inc.",,none,,"dynamite marketing, inc.,dynamitemarketing"
E. Burnham Cosmetics,,none,,"e. burnham cosmetics,eburnhamcosmetics"
Earth Alive Clean Technologies Inc.,,none,,"earth alive clean technologies inc.,earthalivect"
Earth Goddess Minerals,,none,,"earth goddess minerals,earthgoddessminerals"
Earth Mama Angel Baby,,none,,"earth mama angel baby,earthmamaangelbaby"
Earth Spirit Natural Home,,none,,"earth spirit natural home,earthspiritcatalogue"
Earthlight Organics,,none,,"earthlight organics,earthlightorganics"
Eco Tools Cosmetic Brushes,,none,,"eco tools cosmetic brushes,eco-tools,Eco Tools"
Edward & Sons Trading Company,,none,,"edward & sons trading company,edwardandsons"
Egyptian Magic Skin Cream,,none,,"egyptian magic skin cream,egyptianmagic"
Elizabeth Grady Face First,,none,,"elizabeth grady face first,elizabethgrady"
Elizabeth Van Buren Aromatherapy,,none,,"elizabeth van buren aromatherapy,evb-aromatherapy"
ELON Nail & Skin Essentials,,none,,"elon nail & skin essentials,ilovemynails"
Emily Skin Soothers,,none,,"emily skin soothers,emilyskinsoothers"
Eminence Organic Skin Care,,none,,"eminence organic skin care,eminenceorganics"
Emma Jean Cosmetics,,none,,"emma jean cosmetics,emmajeancosmetics"
Engelshaut Cosmetics,,none,,"engelshaut cosmetics,engelshaut-cosmetics"
English Rose Cosmetics,,none,,"english rose cosmetics,english-rose-cosmetics"
Envyderm Cosmetics Company,,none,,"envyderm cosmetics company,envyderm"
"Essence of Vali, Inc.",,none,,"essence of vali, inc.,essenceofvali"
Essential 3,,none,,"essential 3,jacki's magic lotion,essentialthree"
Essential Oil Company,,none,,"essential oil company,essentialoil"
Eva Jenae Naturals,,none,,"eva jenae naturals,evajenaenaturals"
"Evanger’s Dog and Cat Food Co., Inc.",,none,,"evanger’s dog and cat food co., inc.,evangersdogfood"
Everyday Esthetics,,none,,"everyday esthetics,everydayesthetics"
Exuberance International Inc.,,none,,"exuberance international inc.,exuberancebeauty"
FíOR Mineral Cosmetics,,none,,"fíor mineral cosmetics,fiorminerals"
Fabula Skincare & Wellness,,none,,"fabula skincare & wellness,fabulalife"
Fair and Flawless,,none,,"fair and flawless,fairandflawlessskin"
"Faith Products, Ltd.",,none,,"faith products, ltd.,faithinnature"
Little Green Ferns Limited,,none,,"little green ferns limited,fernberry"
Fizzy Bella Bath Boutique,,none,,"fizzy bella bath boutique,fizzybella"
Flawless Spa Treatment Mineral Cosmetics,,none,,"flawless spa treatment mineral cosmetics,flawlessnz"
Fleabusters/Rx for Fleas,,none,,"fleabusters/rx for fleas,fleabuster"
Flower Essences of Fox Mountain,,none,,"flower essences of fox mountain,foxmountain"
Forever New International,,none,,"forever new international,forevernew"
Formulary Herb Products,,none,,"formulary herb products,formularyherbs"
Free of...Bath & Body Care,,none,,"free of...bath & body care,freeofproducts"
Freestyle Beauty Co.,,none,,"freestyle beauty co.,freestylebeauty"
Frontier Natural Products Co-op,,none,,"frontier natural products co-op,frontiercoop"
Garden of Eve Skin Care,,none,,"garden of eve skin care,garden-of-eve"
Generation to Generation,,none,,"generation to generation,ggpregnancy"
Giovanni Cosmetics,,none,,"giovanni cosmetics,giovannicosmetics"
Garden Art Innovations,,none,,"garden art innovations,glamnaturalmakeup"
GlitterDaze Cosmetics,,none,,"glitterdaze cosmetics,glitterdazenp"
Golden Path Alchemy,,none,,"golden path alchemy,goldenpathalchemy"
Good Impressions,,none,,"good impressions,makeitfunanditwillgetdone"
Gourmet Body Treats,,none,,"gourmet body treats,gourmetbodytreats"
Grateful Body Skin Care,,none,,"grateful body skin care,gratefulbody"
"Great American, The Wholefood Farmacy",,none,,"great american, the wholefood farmacy,thewholefoodfarmacy"
Great Life Performance Pet Products,,none,,"great life performance pet products,doctorsfinest"
Green Beauty Cosmetics,,none,,"green beauty cosmetics,greenbeautycosmetics"
Greenology Products,,none,,"greenology products,greenologyproducts"
Greenridge Herbals,,none,,"greenridge herbals,greenridgeherbals"
HANA Organic Skincare,,none,,"hana organic skincare,hanaorganicskincare"
Handmade Natural Beauty,,none,,"handmade natural beauty,naturalbeautysoaps"
"PEY Beauty and Health, LLC",,none,,"pey beauty and health, llc,natureluxehealth"
Happy Tails Canine Spa,,none,,"happy tails canine spa,happytailsspa"
"Distributed by The Aurora Group, Inc.",,none,,"distributed by the aurora group, inc.,viviforyou"
Herbal Essentials,,none,,"herbal essentials,herbline-essentials"
Herbal Products & Development,,none,,"herbal products & development,centralcoastnutrition"
Hermosa Beach Soap Company,,none,,"hermosa beach soap company,hermosabeachsoap"
Hippy Heaven Natural Beauty,,none,,"hippy heaven natural beauty,hippyheavennaturalbeauty"
"Hobé Laboratories, Inc.",,none,,"hobé laboratories, inc.,hobelabs"
"Honest Kitchen, The",,none,,"honest kitchen, the,thehonestkitchen"
Honesty Cosmetics,,none,,"honesty cosmetics,honestycosmetics"
HoneyChile HairLove,,none,,"honeychile hairlove,honeychilehairlove"
Hothouse Botanicals,,none,,"hothouse botanicals,hothousebotanicals"
Hourglass Cosmetics,,none,,"hourglass cosmetics,hourglasscosmetics"
Hugo Natural Products,,none,,"hugo natural products,hugonaturals"
Hypnotic Skinessentials,,none,,"hypnotic skinessentials,hypnoticskinssentials"
I Woke Up Well Distributing,,none,,"i woke up well distributing,iwokeupwell"
Illuminare Cosmetics,,none,,"illuminare cosmetics,illuminarecosmetics"
Infusion Breast Care Botanicals,,none,,"infusion breast care botanicals,infusionbcb"
Innovative Formulations,,none,,"innovative formulations,innovativeformulations"
Intrinsic Organics,,none,,"intrinsic organics,intrinsicorganics"
Ipswich Bay Soap Company,,none,,"ipswich bay soap company,ipswichbaysoap"
Isis Essentials,,none,,"isis essentials,senza età,isisessentials"
Jabon Natural Company,,none,,"jabon natural company,jabonnaturalcompany"
Jamieson Laboratories,,none,,"jamieson laboratories,jamiesonvitamins"
jane iredale – THE SKIN CARE MAKEUP,,none,,"jane iredale – the skin care makeup,janeiredale"
Jason Natural Cosmetics,,none,,"jason natural cosmetics,jason-natural"
Jeanne Rose Aromatherapy,,none,,"jeanne rose aromatherapy,jeannerose"
Jersey Shore Cosmetics,,none,,"jersey shore cosmetics,jerseyshoresun"
Jess' Bee Natural Products,,none,,"jess' bee natural products,beenaturallipbalm"
Jesse's Girl Cosmetics,,none,,"jesse's girl cosmetics,jessesgirlcosmetics"
Jessica McClintock,,none,,"jessica mcclintock,jessicamcclintock"
John Amico Expressive Hair Care Products,,none,,"john amico expressive hair care products,johnamico"
Jolen Creme Bleach,,none,,"jolen creme bleach,jolencremebleach"
Joli Natural Skin Care Products,,none,,"joli natural skin care products,jolinatural"
Josie Maran Cosmetics,,none,,"josie maran cosmetics,josiemarancosmetics"
Julian Rouas Paris Inc.,,none,,"julian rouas paris inc.,julianrouasparis"
Kalliste Organics Inc.,,none,,"kalliste organics inc.,kallisteshop"
Karen’s Botanicals,,none,,"karen’s botanicals,karensbotanicals"
Keeki Pure & Simple,,none,,"keeki pure & simple,keekipureandsimple"
Kelly Teegarden Organics,,none,,"kelly teegarden organics,kellyteegardenorganics"
Kimberly Sayer of London,,none,,"kimberly sayer of london,kimberlysayer"
Kind Beauty Collective,,none,,"kind beauty collective,kindbeautycollective"
KINeSYS Performance Sunscreen,,none,,"kinesys performance sunscreen,kinesys"
King of Shaves,,none,,"king of shaves,ted baker,xcd,shave"
Kirk's Natural Products,,none,,"kirk's natural products,kirksnatural"
Knotty Boy Natural Dreadlock Care,,none,,"knotty boy natural dreadlock care,knottyboy"
Know Better Dog Food,,none,,"know better dog food,knowbetterdogfood"
Krave Cosmeceuticals,,none,,"krave cosmeceuticals,kravecosmeceuticals"
Kryolan Professional Make-up,Tata Global Beverages,partial,0,"kryolan professional make-up,global"
La Vie Celeste Skin Care,,none,,"la vie celeste skin care,laviecelesteskincare"
Laughing Devil Designs,,none,,"laughing devil designs,laughingdevilbathandbeauty"
Lauren Brooke Cosmetics,,none,,"lauren brooke cosmetics,laurenbrookecosmetiques"
Le FP Green Body Care,,none,,"le fp green body care,lefpgreenbodycare"
Lemongrass Spa Products,,none,,"lemongrass spa products,lemongrassspa"
Liberty Natural Products,,none,,"liberty natural products,libertynatural"
Light Mountain Natural Hair Color,,none,,"light mountain natural hair color,light-mountain-hair-color"
Lime Crime Cosmetics,,none,,"lime crime cosmetics,limecrimemakeup"
LimeLily Cosmetics,,none,,"limelily cosmetics,limelilycosmetics"
Liquid Soap Products,,none,,"liquid soap products,liquidsoapproducts"
Little Barn Apothecary,,none,,"little barn apothecary,littlebarnapothecary"
Little Forest Natural Baby Products,,none,,"little forest natural baby products,littleforest"
Little Moon Essentials,,none,,"little moon essentials,littlemoonessentials"
Liz Claiborne Cosmetics,,none,,"liz claiborne cosmetics,lizclaiborne"
Long by Valery Joseph Haircare,,none,,"long by valery joseph haircare,valeryjoseph"
Lotus Garden Botanicals,,none,,"lotus garden botanicals,lgbotanicals"
Lotus Moon Natural Skin Care,,none,,"lotus moon natural skin care,smbessentials"
Louise Bianco Skin Care,,none,,"louise bianco skin care,louisebianco"
Love Beauty Alchemy,,none,,"love beauty alchemy,lovebeautyalchemy"
Love is… pet vibrational healing,,none,,"love is… pet vibrational healing,loveispvh"
Lovely Lady Products,,none,,"lovely lady products,lovelyladyproducts"
Luv Mineral Cosmetics,,none,,"luv mineral cosmetics,luvmineralcosmetics"
MÈTAMOUR Skin Care,,none,,"mètamour skin care,metamourskincare"
M.E.G. Gottlieb Diaderma-Haus,,none,,"m.e.g. gottlieb diaderma-haus,diaderma"
Maclaren North America,,none,,"maclaren north america,maclarenbaby"
Maia's Mineral Galaxy,,none,,"maia's mineral galaxy,maiasminerals"
Mango Madness Skin Care,,none,,"mango madness skin care,mangomadnessskincare"
Marilyn Miglin Institute,,none,,"marilyn miglin institute,marilynmiglin"
MarkAlice Cosmetics,,none,,"markalice cosmetics,markalicecosmetics"
Martina Gebhardt,,none,,"martina gebhardt,martina-gebhardt-naturkosmetik"
"Max Green Alchemy, Ltd.",,none,,"max green alchemy, ltd.,maxgreenalchemy"
Meadow Lake Farm Honeybee Products LLC,,none,,"meadow lake farm honeybee products llc,beehiveskintherapies"
Mei Yin Naturopathics,,none,,"mei yin naturopathics,meiyinskincare"
Mi-Me Handmade Bath & Body,,none,,"mi-me handmade bath & body,ilovemime"
Michael Todd USA,,none,,"michael todd usa,michaeltoddtrueorganics"
Millenia Productions,,none,,"millenia productions,lapalmproducts"
Mineral Fusion Cosmetics,,none,,"mineral fusion cosmetics,mineralfusion"
MJ Studios Pro Cosmetics Canada,,none,,"mj studios pro cosmetics canada,mjprocosmetics"
Modern Minerals Makeup,,none,,"modern minerals makeup,modernmineralsmakeup"
Motherlove Herbal Company,,none,,"motherlove herbal company,motherlove"
Mountain Girl Botanics,,none,,"mountain girl botanics,mountaingirlbotanics"
Mountain Girl Soap And Sundries,,none,,"mountain girl soap and sundries,mountaingirlsoap"
Mountain Spirit Botanicals,,none,,"mountain spirit botanicals,mountain-spirit-botanicals"
Shanti Face and Body Lounge,,none,,"shanti face and body lounge,shantifaceandbody"
Naked Princess Worldwide,,none,,"naked princess worldwide,nakedprincessworldwide"
Nana Anne's Home Remedies,,none,,"nana anne's home remedies,nanaanneshomeremedies"
Nasha International Cosméticos,,none,,"nasha international cosméticos,nasha"
Natural Animal Health Products,,none,,"natural animal health products,naturalanimal"
Natural Bodycare Co.,,none,,"natural bodycare co.,natural-bodycare"
Natural Glow Sunless Tanning Products,,none,,"natural glow sunless tanning products,naturalglowsunless"
Natural Research People,,none,,"natural research people,naturalresearchpeople"
Natural Salt Lamps,,none,,"natural salt lamps,solay wellness,natural-salt-lamps"
Naturally Fresh Crystal Deodorant,,none,,"naturally fresh crystal deodorant,tccd"
Nature Works Laboratories,Loblaw Companies Limited,partial,0,"nature works laboratories,com/"
Nature's Inventory,,none,,"nature's inventory,naturesinventory"
NATURE'S WAY Ayurvedic Products,,none,,"nature's way ayurvedic products,natureswaycosmetics"
Nature’s Baby Organics,,none,,"nature’s baby organics,naturesbabyorganics"
Natures Magic Skin Care,,none,,"natures magic skin care,naturesmagicskincareproducts"
New Directions Aromatics,,none,,"new directions aromatics,newdirectionsaromatics"
New Look Cosmetics,,none,,"new look cosmetics,newlookcosmetics,New Look"
New Vision International,,none,,"new vision international,newvision"
No Common Scents,,none,,"no common scents,nocommonscents"
North Coast Organics,,none,,"north coast organics,north-coast-organics"
North Country Esscentuals,,none,,"north country esscentuals,northcountryesscentuals"
NovAurora Organic Skin Care,,none,,"novaurora organic skin care,novauroraorganicskincare"
Nuzzle by Beaute Marketing,,none,,"nuzzle by beaute marketing,shopnuzzle"
OBIA Natural Hair Care,,none,,"obia natural hair care,obianaturalhair"
"Obsessive Compulsive Cosmetics, Inc.",,none,,"obsessive compulsive cosmetics, inc.,occmakeup"
Olive's Organic Botanicals,,none,,"olive's organic botanicals,olivesorganicbotanicals"
Umbria Olii International USA,,none,,"umbria olii international usa,olivellaline"
"Onesta Organics, Inc.",,none,,"onesta organics, inc.,onestaorganics"
Opulence Cosmetics,,none,,"opulence cosmetics,opulencecosmetics"
Oregon Soap Company,,none,,"oregon soap company,oregonsoapcompany"
Organic Make-up Company Inc.,,none,,"organic make-up company inc.,organicmakeup"
Organic Rosehip Skincare,,none,,"organic rosehip skincare,rosehipskincare"
Organic Salon Systems,,none,,"organic salon systems,organiccolorsystems"
Organic Soap Valley,,none,,"organic soap valley,organicsoapvalley"
Organic Trader Canada,,none,,"organic trader canada,organicformulations"
Original Little Sprout,,none,,"original little sprout,originalsprout"
Outside/In Cosmetics,,none,,"outside/in cosmetics,outsideincosmetics"
Paradise Candles of Hawaii,,none,,"paradise candles of hawaii,paradisecandlesofhawaii"
Paradise City Herbal,,none,,"paradise city herbal,paradisecityherbal"
Peachykeen Organics,,none,,"peachykeen organics,peachykeenorganics"
Performance Brands Inc.,,none,,"performance brands inc.,performancebrands"
PHB Ethical Beauty,,none,,"phb ethical beauty,phbethicalbeauty"
Pilot Corporation of America,,none,,"pilot corporation of america,pilotpen"
Pink Horizons Botanical Skin Care,,none,,"pink horizons botanical skin care,pinkhorizons"
Plain Jane Skin Care,,none,,"plain jane skin care,plainjaneskincare"
Planet Eve Organics,,none,,"planet eve organics,planeteveorganics"
Platinum Skin Care,,none,,"platinum skin care,platinumskincare"
