company,wikirate_company,status,accept_status,aliases
Estée Lauder Cos,Est��e Lauder Companies,partial,1,"estée lauder cos,the estee lauder companies inc,elcompanies,Estee Lauder"
Skanska,,none,,
L-3 Communications,,none,,"l-3 communications,l-3com,L-3 Titan (part of L-3 Communications),L-3 Titan"
Leucadia National,,none,,"leucadia national,leucadia"
VMware,,none,,
Kuehne + Nagel,,none,,"kuehne + nagel,kuehne-nagel"
Eastman Chemical,,none,,"eastman chemical,eastman chemical company,eastman,Solutia,Eastman Chemical Co."
Cemex,,none,,
Saudi British Bank,,none,,"saudi british bank,sabb"
Shimao Property Holdings,,none,,"shimao property holdings,shimaoproperty"
Cameron International,,none,,"cameron international,c-a-m,Cameron International Corp."
Mediolanum,,none,,
Discovery Communications,,none,,"discovery communications,discoveryholding"
China Yangtze Power,,none,,"china yangtze power,cypc"
Punjab National Bank,,none,,"punjab national bank,pnbindia"
Republic Services,,none,,"republic services,republicservices"
Mahindra & Mahindra,,none,,"mahindra & mahindra,mahindra"
Valeo,,none,,
Vienna Insurance Group,,none,,"vienna insurance group,viennainsurancegroup"
KPN,,none,,
Abu Dhabi Commercial Bank,,none,,"abu dhabi commercial bank,adcb"
Mylan,,none,,Mylan Laboratories
AntarChile,,none,,
Woori Finance Holdings,,none,,"woori finance holdings,woorifg"
China Shipbuilding Industry,,none,,"china shipbuilding industry,csic"
Stanley Black & Decker,,none,,"stanley black & decker,stanleyblackanddecker,Stanley Works"
ALFA,,none,,Alfa 5
Bed Bath & Beyond,,none,,"bed bath & beyond,the organic cabinet,bedbathandbeyond"
ITC,,none,,"itc,itcportal"
Mega Financial Holding,,none,,"mega financial holding,megaholdings"
Invesco,,none,,
American Capital Agency,,none,,"american capital agency,agnc"
Kone,,none,,
Voestalpine,,none,,
Hertz Global Holdings,,none,,"hertz global holdings,hertz"
AutoZone,,none,,
Eiffage,,none,,
Nielsen Holdings,,none,,"nielsen holdings,nielsen"
Origin Energy,,none,,"origin energy,originenergy"
Rakuten,,none,,
Fanuc,,none,,
Sherwin-Williams,,none,,"sherwin-williams,the sherwin-williams company,sherwin"
Naspers,,none,,
Tokyu,,none,,
Royal Caribbean Cruises,,none,,"royal caribbean cruises,royalcaribbean,Royal & SunAlliance"
Datang International Power,,none,,"datang international power,dtpower"
Essilor International,,none,,"essilor international,essilor"
Constellation Brands,,none,,"constellation brands,cbrands,Constellation Energy"
Applied Materials,,none,,"applied materials,applied materials, inc.,appliedmaterials"
Whole Foods Market,Whole Foods Market Inc.,partial,1,"whole foods market,wholefoods"
HCP,,none,,"hcp,hcpi"
ICA Gruppen,,none,,
Bharat Heavy Electricals,,none,,"bharat heavy electricals,bhel"
TD Ameritrade Holding,,none,,"td ameritrade holding,amtd"
Marriott International,,none,,"marriott international,marriott international, inc.,marriott"
Secom,,none,,
Agilent Technologies,,none,,"agilent technologies,agilent"
Textron,,none,,Textron Inc.
Staples,,none,,
Everest Re Group,,none,,"everest re group,everestregroup"
Land Securities Group,,none,,"land securities group,landsecurities,Land Securities"
Weatherford International,,none,,"weatherford international,weatherford"
American Tower,,none,,"american tower,americantower"
Bank of Ireland,,none,,"bank of ireland,bankofirelandmortgages"
Chow Tai Fook Jewellery,,none,,"chow tai fook jewellery,chowtaifook"
China Steel,,none,,"china steel,computer sciences,csc,Computer Sciences (CSC)"
Samsung Heavy Industries,"Samsung,Toshiba Corporation",partial,0,"samsung heavy industries,shi"
CF Industries Holdings,,none,,"cf industries holdings,cfindustries"
Industries Qatar,,none,,"industries qatar,industriesqatar"
Power Assets Holdings,,none,,"power assets holdings,powerassets"
Belgacom,,none,,
Areva,,none,,
DSM,,none,,
VakifBank,,none,,
Cemig,,none,,
Genting,,none,,
Financiere de l'Odet,,none,,"financiere de l'odet,bollore"
Boston Properties,,none,,"boston properties,bostonproperties"
Zhejiang Zheneng Electric Power,,none,,"zhejiang zheneng electric power,zzepc"
NEC,TE Connectivity Ltd.,partial,0,
Valeant Pharmaceuticals,,none,,"valeant pharmaceuticals,medicis,valeant pharmaceuticals international,valeant,Valeant"
Finatis,,none,,
Phoenix Group Holdings,,none,,"phoenix group holdings,thephoenixgroup"
CSL,,none,,
Shanghai International Port,,none,,"shanghai international port,portshanghai"
Banque Saudi Fransi,,none,,"banque saudi fransi,alfransi"
Dexia,,none,,
Banque nationale de Belgique,,none,,"banque nationale de belgique,bnb"
Huadian Power International,,none,,"huadian power international,hdpi"
CarMax,,none,,
Shanghai Electric Group,,none,,"shanghai electric group,shanghai-electric"
Investec,,none,,
Aluminum Corp of China,,none,,"aluminum corp of china,chalco"
Hermès International,,none,,"hermès international,hermes-international,Hermès"
Huntington Bancshares,,none,,"huntington bancshares,huntington"
