company,year,report_type,source,title
"Square Enix Holdings Co, Ltd",2017,Modern Slavery Statement,http://www.hd.square-enix.com/eng/company/pdf/philosophy_20170501en.pdf,Square Enix Holdings - MSA statement 2017,
State Oil Limited,2017,Modern Slavery Statement,http://www.harvestenergy.co.uk/slavery-human-trafficking-statement/,State Oil Ltd - MSA statement 2017,
Sumitomo Corporation Europe Limited,2017,Modern Slavery Statement,http://www.sumitomocorpeurope.com/file/SCEU%20MSA%20Statement.pdf,Sumitomo Corp Europe - MSA statement 2017,
Sutherland Global Services Inc.,2017,Modern Slavery Statement,https://www.sutherlandglobal.com/-/media/sutherland/files/modern-slavery-act-statement.pdf?la=en&hash=B27F108198D44D44ED0ECBE510265F8B6A91D930,Sutherland Global Services - MSA statement 2017,
SUZUKI GB PLC,2017,Modern Slavery Statement,https://www.suzuki.co.uk/cars/about/news/modern-slavery-and-human-trafficking-statement,SUZUKI GB - MSA statement 2017,
"T.D. Williamson, Inc.",2017,Modern Slavery Statement,http://www.tdwilliamson.com/California,TD Williamson - MSA statement 2017,
Ted Baker,2017,Modern Slavery Statement,http://www.tedbakerplc.com/teds-responsibilities/supply-chain-transparency-and-modern-slavery-statement,Ted Baker - MSA statement 2017,
Thai Union Group plc,2016,Modern Slavery Statement,http://tu.listedcompany.com/newsroom/20160615-tu-modern-slavery-en.pdf,Thai Union Group - MSA statement 2016,
Toll Holdings Limited,2017,Modern Slavery Statement,http://www.tollgroup.com/document/modern-slavery-act-statement-2016.pdf,Toll Holdings Ltd - MSA statement 2017,
Total Foodservice Solutions Ltd,2016,Modern Slavery Statement,http://www.totalfoodservice.co.uk/data/ckeditor/Pdfs/Slavery_and_Human_Trafficking_FY2016-2017.pdf,Total Foodservice Solutions - MSA statement 2016,
Toyota (GB) PLC,2017,Modern Slavery Statement,https://www.toyota.co.uk/footer/modern-slavery-statement.json,Toyota GB - MSA statement 2017,
"TRS Staffing Solutions, Inc.",2017,Modern Slavery Statement,https://www.trsstaffing.com/modern-slavery-act-statement,TRS Staffing Solutions - MSA statement 2017,
Victoria Plc,2017,Modern Slavery Statement,http://bit.ly/2sOcn9I,Victoria - MSA statement 2017,
Volkswagen Group United Kingdom Limited,2017,Modern Slavery Statement,https://www.volkswagen-vans.co.uk/media/3288436/vwg_uk_ltd_modern_slavery_act_statement_june_2017.pdf,Volkswagen Group UK - MSA statement 2017,
WCF Ltd,2016,Modern Slavery Statement,https://www.wcf.co.uk/pdf/WCF-modern-slavery-report.pdf,WCF Ltd - MSA statement 2016,
WD Meats Ltd,2016,Modern Slavery Statement,http://wd-meats.co.uk/site/wp-content/themes/wdtheme/images/slavery-and-trafficking.pdf,WD Meats Ltd - MSA statement 2016,
Wessanen UK,2017,Modern Slavery Statement,https://wessanenuk.com/modern-slavery-statement-financial-year-201516/,Wessanen UK - MSA statement 2017,
WH Smith Plc,2017,Modern Slavery Statement,http://www.whsmithplc.co.uk/docs/Modern_Slavery_Statement_FINAL.pdf,WH Smith - MSA statement 2017,
Whirlpool UK Appliances Limited,2017,Modern Slavery Statement,https://www.kitchenaid.co.uk/pdf/signed-modern-slavery-act-statement.pdf,Whirlpool UK Appliances Ltd - MSA statement 2017,
Worldwide Fruit Ltd,2017,Modern Slavery Statement,http://www.worldwidefruit.co.uk/pages/modern-slavery-act.html,Worldwide Fruit - MSA statement 2017,
Anritsu Corporation,2016,Modern Slavery Statement,https://dl.cdn-anritsu.com/en-en/about-anritsu/csr/respect-persons/modern-slavery-statement-en.pdf,Anritsu Group - MSA statement 2016,
Arcadia Group,2017,Modern Slavery Statement,https://arcadiagroup.co.uk/modernslaverystatement,Arcadia Group - MSA statement 2017,
Arrow Electronics,2016,Modern Slavery Statement,http://static4.arrow.com/-/media/files/pdf/arrow-slavery-and-human-trafficking-statement-2016-update.pdf?la=en,Arrow Electronics - MSA statement 2016,
Asda Stores Ltd.,2017,Modern Slavery Statement,https://cdn.corporate.walmart.com/49/58/e2b91b8b468886e33f9803b6b60d/asda-modern-slavery-statement-document-12-06-17.pdf,Asda Stores - MSA statement 2017,
Astellas Pharma,2016,Modern Slavery Statement,https://www.astellas.com/en/csr/pdf/slaver_act_Eng.pdf,Astellas Pharma - MSA statement 2016,
