"Kirin Holdings","kirin holdings|kirinholdings|Kirin|Kirin Holdings Company Limited"
"Baoshan Iron & Steel","baoshan iron & steel|baosteel|Baosteel Group Corporation"
"Fortum","Fortum Corporation"
"Cheung Kong Holdings","cheung kong holdings|ckh|Cheung Kong"
"Sysco",""
"Tatneft",""
"Korea Electric Power","korea electric power|kepco|Korea Electric Power (KEPCO)|Korea Electric Power Corporation"
"Kyocera",""
"Marsh & McLennan","marsh & mclennan|mmc"
"China Resources Land","china resources land|crland"
"Raiffeisen Bank International","raiffeisen bank international|rbinternational"
"Shin-Etsu Chemical","shin-etsu chemical|shinetsu|Shin-Etsu Group|Shin-Etsu Chemical Co., Ltd."
"Kubota",""
"Siam Commercial Bank","siam commercial bank|scb"
"TELUS","TELUS Corporation"
"Tata Consultancy Services","tata consultancy services|tcs|Tata Consultancy Services Limited"
"Vivendi",""
"Anglo American","anglo american|angloamerican"
"Evonik",""
"Kasikornbank",""
"Commerzbank",""
"Ferrovial","Ferrovial S.A."
"Franklin Resources","franklin resources|franklin templeton investments|franklintempleton|Franklin Templeton"
"Daiwa House Industry","daiwa house industry|daiwahouse"
"Simon Property Group","simon property group|simon|Simon Property"
"Tenaris","Siderca"
"Regions Financial","regions financial|regions"
"Southwest Airlines","southwest airlines|southwest|AirTran"
"Western Digital","western digital|westerndigital"
"Porsche Automobil Holding","porsche automobil holding|porsche-se"
"Woodside Petroleum","woodside petroleum|woodside"
"Deutsche Lufthansa","deutsche lufthansa|lufthansa"
"Falabella",""
"Bankia","Bankia S.A."
"Potash of Saskatchewan","potash of saskatchewan|potash corp of saskatchewan|potashcorp"
"Air Products & Chemicals","air products & chemicals|airproducts|Air Products"
"Sumitomo Realty","sumitomo realty|sumitomo realty & development|sumitomo-rd"
"Entergy",""
"Reynolds American","reynolds american|reynoldsamerican"
"China Resources Power","china resources power|cr-power"
"Samsung Fire & Marine","samsung fire & marine|samsungfire"
"Evergrande Real Estate","evergrande real estate|evergrande"
"Agrium","Agrium Inc."
"Banco Popular Espanol","banco popular espanol|bancopopular"
"Delphi Automotive","Delphi Automotive PLC|Delphi Automotive Systems, LLC|Delphi"
"Spectra Energy","spectra energy|spectra energy corp.|spectra energy corp|spectraenergy"
"Abertis","Abertis Infraestructuras"
"Hyundai Heavy Industries","hyundai heavy industries|hhi"
"ThyssenKrupp Group","thyssenkrupp group|thyssenkrupp|ThyssenKrupp AG"
"Adecco","Adecco Group"
"Seadrill",""
"Celgene",""
"MTR",""
"Country Garden Holdings","country garden holdings|countrygarden|Country Garden"
"British Sky Broadcasting","british sky broadcasting|sky"
"Mitsubishi Motors","mitsubishi motors|mitsubishi-motors"
"JBS",""
"National Bank of Abu Dhabi","national bank of abu dhabi|nbad"
"Dollar General","dollar general|dollargeneral"
"Sandvik","Sandvik AB"
"China National Building","china national building|cnbmltd"
"Genworth Financial","genworth financial|genworth"
"Annaly Capital Management","annaly capital management|annaly"
"Halkbank",""
"Bouygues",""
"Bank Central Asia","bank central asia|klikbca"
"Asahi Group Holdings","asahi group holdings|asahibeer"
"MegaFon",""
"CenturyLink",""
"Insurance Australia Group","insurance australia group|iag"
"Steinhoff International","steinhoff international|steinhoffinternational"
"AmerisourceBergen",""
"Atlantia",""
"Industrial Bank of Korea","industrial bank of korea|kiupbank"
"First Gulf Bank","first gulf bank|firstgulfbank"
"Northeast Utilities","northeast utilities|nu"
"Seagate Technology","seagate technology|seagate technology plc|seagate|Seagate|Seagate Australia"
"Associated Retailers",""
"Diego Zamora",""
"Industrie Clothing",""
"Nippecraft",""
"Prolife Foods",""
"SHS Group",""
"VTech",""
"Westland Milk Products",""
"Daewoo International ","Daewoo International |Daewoo Group"
"Harrah's",""
"Alrosa (Almazy Rossii Sakha)",""
"Cipla",""
"Asiana Airlines",""
"SPX Corp.",""
"Targa Resources LLC",""
"CR Bard","cr bard|crbard|C.R. Bard, Inc."
"BlackBerry Australia",""
"Dell Australia",""
"Facebook Australia",""
"Lenovo Australia",""
"Pebble",""
"Samsung Australia",""
"BBL Transport",""
"Quito Inor Flowers Trade Cia. Ltda.",""
"Swedish Space Corporation",""
"Pranda Group",""
"SABIC Innovative Plastics",""
"Sopharma Pharmaceuticals",""
"Hippocrates Research Srl",""
"Zhuzhou CSR Times Electric Co.,Ltd.",""
"Qatar Fertiliser Company (S.A.Q)",""
"Siliconware Precision Industries Co. Ltd.",""
"Georgetown University",""
"Sandy Alexander Inc.",""
"China Cinda Asset Management","china cinda asset management|cinda"
"Banco de Sabadell","banco de sabadell|bancsabadell|Banco Sabadell"
"Sanlam","Sanlam Ltd"
"Liberty Interactive","liberty interactive|libertyinteractive"
"CSR","csr|csrgc"
"Scor",""
"Technip",""
"Nucor","Nucor Corp."
"Hilton Worldwide Holdings","hilton worldwide holdings|hilton worldwide|hiltonworldwide"
"China Coal Energy","china coal energy|chinacoalenergy"
"Midea Group Co. Ltd.","midea group co. ltd.|midea"
"DaVita",""
"Kansai Electric Power","kansai electric power|kepco|Kansai Electric Power (KEPCO)"
"Deutsche Boerse","deutsche boerse|deutsche-boerse|Deutsche Boerse AG"
"Veolia Environnement","veolia environnement|veoliaenvironnement"
"Mobily",""
"Marks & Spencer","marks & spencer|marks and spencer|marks and spencer p.l.c.|marksandspencer"
"Baidu",""
"Resolution",""
"Northern Trust","northern trust|northern trust corporation|the northern trust company|northerntrust"
"American Airlines Group","american airlines group|aa|American Airlines|Amer"
"Dentsu",""
"Wolseley",""
"QBE Insurance Group","qbe insurance group|qbe|QBE Insurance"
"Mitsubishi Chemical","mitsubishi chemical|mitsubishichem-hd|Mitsubishi Chemical Holdings Corporation"
"Solvay","Solvay S.A."
"Dongfeng Motor Group","dongfeng motor group|dfmg|Dongfeng Motor"
"Galaxy Entertainment","galaxy entertainment|kwcml"
"Thomson Reuters","thomson reuters|thomson reuters tr|thomsonreuters|Reuters (part of Thomson Reuters)"
"West Japan Railway","west japan railway|westjr"
"Canadian Pacific Railway","canadian pacific railway|cpr"
"Allergan",""
"Chinatrust Financial","chinatrust financial|chinatrustgroup"
"Allied Irish Banks","allied irish banks|aibgroup"
"Bunge",""
"Metallurgical Corp of China","metallurgical corp of china|mccchina"
"Emirates NBD","emirates nbd|emiratesnbd"
"Motorola Solutions","motorola solutions|motorola|motorola solutions, inc.|motorolasolutions"
"Telekom Indonesia","telekom indonesia|telkom"
"Cognizant Technology","cognizant technology|cognizant technology solutions|cognizant"
"International Airlines","international airlines|iairgroup"
"Mercantil Servicios","mercantil servicios|bancomercantil"
"Murata Manufacturing","murata manufacturing|murata"
"Cencosud","CENCOSUD"
"Tyco International","tyco international|tyco"
"Chubu Electric Power","chubu electric power|chuden"
"Estée Lauder Cos","estée lauder cos|the estee lauder companies inc|elcompanies|Estee Lauder"
"Skanska","Skanska AB"
"L-3 Communications","l-3 communications|l-3com|L-3 Titan (part of L-3 Communications)|L-3 Titan "
"Leucadia National","leucadia national|leucadia"
"VMware",""
