metric,company_name,year,value,source
"2020WoB+Women on Board","Concho Resources","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","People's United Financial","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Microchip Technology","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CC Media Holdings","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Integrys Energy Group","2015","36","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Alliant Energy","2015","50","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Symetra Financial","2015","14","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Edwards Lifesciences","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Frontier Communications","2015","36","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Packaging Corp of America","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Akamai Technologies","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Towers Watson & Co.","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Range Resources","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Western Refining","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Oceaneering International","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Natl Ins","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Lowe's Cos","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Travelers Cos","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Parsons Corporation","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","JC Penney","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","By K","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Avon Products","2015","64","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","L Oreal Group","2015","40","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Nike, Inc.","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","3M Company","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Accenture","2015","31","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Aflac","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Allstate","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Avnet","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CBRE Group","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cisco Systems","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cummins","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Deere & Co","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Ecolab","2015","29","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Fluor","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Google Inc.","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Granite Construction Incorporated","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Henry Schein","2015","14","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Ingredion","2015","40","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Intel Corporation","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Massachusetts Mutual Life Insurance Company","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Mattel","2015","20","http://www.2020wob.com/company-directory"
"Green Electronics Council+EPEAT Participant","Microsoft Corporation","2015","true","http://ww2.epeat.net/CompanyList.aspx"
"2020WoB+Women on Board","Microsoft Corporation","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","National Grid","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","NiSource","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Paychex","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","PepsiCo, Inc.","2015","38","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Sempra Energy","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Starbucks Corporation","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Symantec","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Teradata","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Hershey","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","US Steel","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Visa","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Weyerhaeuser","2015","30","http://www.2020wob.com/company-directory"
"Green Electronics Council+EPEAT Participant","Xerox","2015","true","http://ww2.epeat.net/CompanyList.aspx"
"2020WoB+Women on Board","Xerox","2015","50","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Time Warner Inc.","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Salesforce.com","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","BlueCross BlueShield of North Carolina","2015","21","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Eaton","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","gap inc.","2015","30","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Old National Bancorp.","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Mosaic","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Whole Foods Market Inc.","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","best buy co., inc.","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Caterpillar","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","General Mills Inc.","2015","36","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Ashland","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Campbell Soup","2015","31","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Duke Energy","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Harris","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","McDonald's Corporation","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Oracle","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Whirlpool","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","MeadWestvaco","2015","30","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Automatic Data","2015","18","http://www.2020wob.com/company-directory"
