metric,company_name,year,value,source
"Newsweek+Greenhouse Gas Productivity","American Express","2015","10.10","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Sustainability Pay Link","American Express","2015","10","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Water Productivity","American Express","2015","5.60","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","American Express","2015","55.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Waste Productivity","American Express","2015","7.50","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","American Express","2012","71.1","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-u-s-500-list.html"
"Newsweek+Waste Productivity","Morgan Stanley","2015","11.90","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Newsweek Green Score","Morgan Stanley","2015","49.90","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Water Productivity","Morgan Stanley","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Sustainability Pay Link","Morgan Stanley","2015","10","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Greenhouse Gas Productivity","Morgan Stanley","2015","4.00","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Energy Productivity","Morgan Stanley","2015","4.00","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Environmental figures audited","Morgan Stanley","2015","5","http://www.newsweek.com/green-2015/top-green-companies-u.s.-2015"
"Newsweek+Newsweek Green Score","Morgan Stanley","2012","51.4","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-u-s-500-list.html"
"Newsweek+Newsweek Green Score","BBVA-Banco Bilbao Vizcaya","2012","72.6","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-global-500-list.html"
"Newsweek+Newsweek Green Score","China Minsheng Banking","2012","61.4","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-global-500-list.html"
"Newsweek+Environmental figures audited","China Shenhua Energy","2015","5","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
