wikirate_company_name,wikirate_id,wikipedia_company_page
OSRAM Licht,61046,https://en.wikipedia.org/wiki/Osram
GEA Group,58327,https://en.wikipedia.org/wiki/GEA_Group
KFW,967709,https://en.wikipedia.org/wiki/KfW
Voith,971897,https://en.wikipedia.org/wiki/Voith
Vaude,44397,https://en.wikipedia.org/wiki/VAUDE
Adidas AG,7217,https://en.wikipedia.org/wiki/Adidas
TUI,58139,https://en.wikipedia.org/wiki/TUI_AG
Motor Oil Hellas,968793,https://en.wikipedia.org/wiki/Motor_Oil_Hellas
Alpha Bank,57243,https://en.wikipedia.org/wiki/Alpha_Bank
Wind Hellas Telecommunication,945090,https://en.wikipedia.org/wiki/WIND_Hellas
Piraeus Bank,57094,https://en.wikipedia.org/wiki/Piraeus_Bank
National Bank of Greece,57276,https://en.wikipedia.org/wiki/National_Bank_of_Greece
Comme Il Faut,51339,https://en.wikipedia.org/wiki/Comme_Il_Faut
Esprit Holdings Limited,9127,https://en.wikipedia.org/wiki/Esprit_Holdings
Hang Seng Bank,48268,https://en.wikipedia.org/wiki/Hang_Seng_Bank
Bank of East Asia,57573,https://en.wikipedia.org/wiki/Bank_of_East_Asia
New World Development,57429,https://en.wikipedia.org/wiki/New_World_Development
Jardine Matheson,56510,https://en.wikipedia.org/wiki/Jardine_Matheson
Sun Hung Kai Properties,47943,https://en.wikipedia.org/wiki/Sun_Hung_Kai_Properties
CIB Bank,965785,https://en.wikipedia.org/wiki/CIB_Bank
Telenor Hungary,917508,https://en.wikipedia.org/wiki/Pannon
MOL Group,968792,https://en.wikipedia.org/wiki/MOL_Group
OTP Bank,58163,https://en.wikipedia.org/wiki/OTP_Bank
Bank Central Asia,48548,https://en.wikipedia.org/wiki/Bank_Central_Asia
Semen Indonesia,58626,https://en.wikipedia.org/wiki/Semen_Indonesia
Bank Danamon Indonesia,51005,https://en.wikipedia.org/wiki/Bank_Danamon
Pertamina,968818,https://en.wikipedia.org/wiki/Pertamina
Astra International,48288,https://en.wikipedia.org/wiki/Astra_International
Gudang Garam,58520,https://en.wikipedia.org/wiki/Gudang_Garam
Bank Negara Indonesia,49141,https://en.wikipedia.org/wiki/Bank_Negara_Indonesia
Bank Mandiri,57078,https://en.wikipedia.org/wiki/Bank_Mandiri
Ryanair Ltd.,7343,https://en.wikipedia.org/wiki/Ryanair
DCC,50763,https://en.wikipedia.org/wiki/DCC_Plc
Primark,5420,https://en.wikipedia.org/wiki/Primark
LinkedIn,60924,https://en.wikipedia.org/wiki/LinkedIn
Hewlett-Packard (HP),3073,https://en.wikipedia.org/wiki/Hewlett-Packard
Analog Devices,56649,https://en.wikipedia.org/wiki/Analog_Devices
Yahoo,56645,https://en.wikipedia.org/wiki/Yahoo
Abbott Laboratories,47698,https://en.wikipedia.org/wiki/Abbott_Laboratories
eBay,56230,https://en.wikipedia.org/wiki/EBay
Apple Inc.,1578,https://en.wikipedia.org/wiki/Apple_Inc.
Facebook,798670,https://en.wikipedia.org/wiki/Facebook
IBM,798673,https://en.wikipedia.org/wiki/IBM
Cisco Systems,42656,https://en.wikipedia.org/wiki/Cisco
Pfizer,56676,https://en.wikipedia.org/wiki/Pfizer
Delek Group,58167,https://en.wikipedia.org/wiki/Delek_Group
Israel Discount Bank,50515,https://en.wikipedia.org/wiki/Israel_Discount_Bank
Check Point Software,49895,https://en.wikipedia.org/wiki/Check_Point_Software_Technologies
First International Bank of Israel,965814,https://en.wikipedia.org/wiki/First_International_Bank_of_Israel
Motorola Mobility,128608,https://en.wikipedia.org/wiki/Motorola_Mobility
Elbit Systems Ltd.,776743,https://en.wikipedia.org/wiki/Elbit
Bank Leumi,61244,https://en.wikipedia.org/wiki/Bank_Leumi
Amdocs,56551,https://en.wikipedia.org/wiki/Amdocs
Perrigo,49988,https://en.wikipedia.org/wiki/Perrigo
ECI Telecom,972994,https://en.wikipedia.org/wiki/ECI_Telecom
Mediobanca,49417,https://en.wikipedia.org/wiki/Mediobanca
Enel,47403,https://en.wikipedia.org/wiki/Enel
Parmalat,61054,https://en.wikipedia.org/wiki/Parmalat
Piaggio Group,841030,https://en.wikipedia.org/wiki/Piaggio
Gucci,18104,https://en.wikipedia.org/wiki/Gucci
Unipol Gruppo,57637,https://en.wikipedia.org/wiki/Unipol
Banco Popolare,57770,https://en.wikipedia.org/wiki/Banco_Popolare
Banca Monte dei Paschi di Siena,965716,https://en.wikipedia.org/wiki/Monte_dei_Paschi_di_Siena
Arnoldo Mondadori Editore SpA,170561,https://en.wikipedia.org/wiki/Giulio_Einaudi_Editore
Assicurazioni Generali Spa,56417,https://en.wikipedia.org/wiki/Assicurazioni_Generali
Perfetti Van Melle Benelux,975151,https://en.wikipedia.org/wiki/Perfetti_Van_Melle
Lavazza,947058,https://en.wikipedia.org/wiki/Lavazza
A2A,50519,https://en.wikipedia.org/wiki/A2A
Finmeccanica,49186,https://en.wikipedia.org/wiki/Finmeccanica
Luxottica Group SpA,57485,https://en.wikipedia.org/wiki/Luxottica
Autogrill,974289,https://en.wikipedia.org/wiki/Autogrill
UBI Banca,57621,https://en.wikipedia.org/wiki/UBI_Banca
Valentino Spa,798657,https://en.wikipedia.org/wiki/Valentino_SpA
UniCredit Group,56458,https://en.wikipedia.org/wiki/UniCredit
STMicroelectronics,971887,https://en.wikipedia.org/wiki/STMicroelectronics
Saras,50855,https://en.wikipedia.org/wiki/Saras_S.p.A.
Intesa Sanpaolo,57053,https://en.wikipedia.org/wiki/Intesa_Sanpaolo
Arab Bank,57926,https://en.wikipedia.org/wiki/Arab_Bank
Halyk Bank,58706,https://en.wikipedia.org/wiki/Halyk_Bank
KazMunaiGas Exploration,58231,https://en.wikipedia.org/wiki/KazMunaiGas_Exploration_Production_(AO)
Bta Bank,58359,https://en.wikipedia.org/wiki/BTA_Bank
Total S.A.,3898,https://en.wikipedia.org/wiki/Total_Oil
Safaricom Limited,917487,https://en.wikipedia.org/wiki/Safaricom
Standard Chartered,47539,https://en.wikipedia.org/wiki/Standard_Chartered_Bank
Daewoo International,5803,https://en.wikipedia.org/wiki/Daewoo
Daelim Industrial,51066,https://en.wikipedia.org/wiki/Daelim
LG Display,57533,https://en.wikipedia.org/wiki/LG_Display
Samsung Fire & Marine Insurance,967755,https://en.wikipedia.org/wiki/Samsung_Fire_%26_Marine_Insurance
Korean Air,58319,https://en.wikipedia.org/wiki/Korean_Air
Hyosung,50396,https://en.wikipedia.org/wiki/Hyosung
Hanjin Shipping,59050,https://en.wikipedia.org/wiki/Hanjin
NAVER,56496,https://en.wikipedia.org/wiki/Naver_Corporation
LG Uplus,58814,https://en.wikipedia.org/wiki/LG_Dacom
